component,variable,marginal_cost,nominal,handle_separately
Generator,p,TRUE,FALSE,FALSE
Generator,status,FALSE,FALSE,TRUE
Generator,start_up,FALSE,FALSE,TRUE
Generator,shut_down,FALSE,FALSE,TRUE
Generator,p_nom,FALSE,TRUE,FALSE
Line,s,FALSE,FALSE,FALSE
Line,s_nom,FALSE,TRUE,FALSE
Transformer,s,FALSE,FALSE,FALSE
Transformer,s_nom,FALSE,TRUE,FALSE
Link,p,TRUE,FALSE,FALSE
Link,p_nom,FALSE,TRUE,FALSE
Store,e,FALSE,FALSE,FALSE
Store,p,TRUE,FALSE,TRUE
Store,e_nom,FALSE,TRUE,FALSE
StorageUnit,p_dispatch,TRUE,FALSE,FALSE
StorageUnit,p_store,FALSE,FALSE,FALSE
StorageUnit,state_of_charge,FALSE,FALSE,FALSE
StorageUnit,p_nom,FALSE,TRUE,FALSE
StorageUnit,spill,FALSE,FALSE,TRUE
Pipe,p,TRUE,FALSE,FALSE
Pipe,p_nom,FALSE,TRUE,FALSE
