technology,year,parameter,value,unit,source,further description,file_path
Ammonia cracker,2030,FOM,4.3,%/year,"Ishimoto et al. (2020): 10.1016/j.ijhydene.2020.09.017 , table 7.",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
Ammonia cracker,2030,investment,1062107.74,EUR/MW_H2,"Ishimoto et al. (2020): 10.1016/j.ijhydene.2020.09.017 , table 6.",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
Ammonia cracker,2030,lifetime,25.0,years,"Ishimoto et al. (2020): 10.1016/j.ijhydene.2020.09.017 , table 7.",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
BioSNG,2030,C in fuel,0.34,per unit,"Stoichiometric calculation, doi:10.1016/j.apenergy.2022.120016",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
BioSNG,2030,C stored,0.66,per unit,"Stoichiometric calculation, doi:10.1016/j.apenergy.2022.120016",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
BioSNG,2030,CO2 stored,0.24,tCO2/MWh_th,"Stoichiometric calculation, doi:10.1016/j.apenergy.2022.120016",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
BioSNG,2030,FOM,1.64,%/year,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx","84 Gasif. CFB, Bio-SNG:  Fixed O&M",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
BioSNG,2030,VOM,1.7,EUR/MWh_th,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx","84 Gasif. CFB, Bio-SNG:  Variable O&M",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
BioSNG,2030,capture rate,0.9,per unit,Assumption based on doi:10.1016/j.biombioe.2015.01.006,,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
BioSNG,2030,efficiency,0.63,per unit,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx","84 Gasif. CFB, Bio-SNG:  Bio SNG",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
BioSNG,2030,investment,1600.0,EUR/kW_th,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx","84 Gasif. CFB, Bio-SNG:  Specific investment",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
BioSNG,2030,lifetime,25.0,years,TODO,"84 Gasif. CFB, Bio-SNG:  Technical lifetime",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
BtL,2030,C in fuel,0.27,per unit,"Stoichiometric calculation, doi:10.1016/j.apenergy.2022.120016",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
BtL,2030,C stored,0.73,per unit,"Stoichiometric calculation, doi:10.1016/j.apenergy.2022.120016",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
BtL,2030,CO2 stored,0.27,tCO2/MWh_th,"Stoichiometric calculation, doi:10.1016/j.apenergy.2022.120016",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
BtL,2030,FOM,2.67,%/year,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx","85 Gasif. Ent. Flow FT, liq fu :  Fixed O&M",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
BtL,2030,VOM,1.06,EUR/MWh_FT,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx","85 Gasif. Ent. Flow FT, liq fu :  Variable O&M",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
BtL,2030,capture rate,0.9,per unit,Assumption based on doi:10.1016/j.biombioe.2015.01.006,,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
BtL,2030,efficiency,0.38,per unit,doi:10.1016/j.enpol.2017.05.013,,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
BtL,2030,investment,3000.0,EUR/kW_th,doi:10.1016/j.enpol.2017.05.013,"85 Gasif. Ent. Flow FT, liq fu :  Specific investment",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
BtL,2030,lifetime,25.0,years,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx","85 Gasif. Ent. Flow FT, liq fu :  Technical lifetime",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
CCGT,2030,FOM,3.35,%/year,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","05 Gas turb. CC, steam extract.:  Fixed O&M",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
CCGT,2030,VOM,4.2,EUR/MWh,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","05 Gas turb. CC, steam extract.:  Variable O&M",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
CCGT,2030,c_b,2.0,50oC/100oC,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","05 Gas turb. CC, steam extract.:  Cb coefficient",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
CCGT,2030,c_v,0.15,50oC/100oC,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","05 Gas turb. CC, steam extract.:  Cv coefficient",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
CCGT,2030,efficiency,0.58,per unit,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","05 Gas turb. CC, steam extract.:  Electricity efficiency, annual average",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
CCGT,2030,investment,830.0,EUR/kW,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","05 Gas turb. CC, steam extract.:  Nominal investment",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
CCGT,2030,lifetime,25.0,years,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","05 Gas turb. CC, steam extract.:  Technical lifetime",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
CH4 (g) fill compressor station,2030,FOM,1.7,%/year,Assume same as for H2 (g) fill compressor station.,,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
CH4 (g) fill compressor station,2030,investment,1498.95,EUR/MW_CH4,"Guesstimate, based on H2 (g) pipeline and fill compressor station cost.",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
CH4 (g) fill compressor station,2030,lifetime,20.0,years,Assume same as for H2 (g) fill compressor station.,,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
CH4 (g) pipeline,2030,FOM,1.5,%/year,Assume same as for H2 (g) pipeline in 2050 (CH4 pipeline as mature technology).,,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
CH4 (g) pipeline,2030,investment,79.0,EUR/MW/km,Guesstimate.,,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
CH4 (g) pipeline,2030,lifetime,50.0,years,Assume same as for H2 (g) pipeline in 2050 (CH4 pipeline as mature technology).,,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
CH4 (g) submarine pipeline,2030,FOM,3.0,%/year,"d__more-Domenech et al (2021): 10.1016/j.apenergy.2021.116625 , supplementary material.",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
CH4 (g) submarine pipeline,2030,investment,114.89,EUR/MW/km,Kaiser (2017): 10.1016/j.marpol.2017.05.003 .,,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
CH4 (g) submarine pipeline,2030,lifetime,30.0,years,"d__more-Domenech et al (2021): 10.1016/j.apenergy.2021.116625 , supplementary material.",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2030.csv
