technology,year,parameter,value,unit,source,further description,file_path
Ammonia cracker,2045,FOM,4.3,%/year,"Ishimoto et al. (2020): 10.1016/j.ijhydene.2020.09.017 , table 7.",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
Ammonia cracker,2045,investment,661221.1,EUR/MW_H2,"Ishimoto et al. (2020): 10.1016/j.ijhydene.2020.09.017 , table 6.",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
Ammonia cracker,2045,lifetime,25.0,years,"Ishimoto et al. (2020): 10.1016/j.ijhydene.2020.09.017 , table 7.",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
BioSNG,2045,C in fuel,0.37,per unit,"Stoichiometric calculation, doi:10.1016/j.apenergy.2022.120016",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
BioSNG,2045,C stored,0.63,per unit,"Stoichiometric calculation, doi:10.1016/j.apenergy.2022.120016",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
BioSNG,2045,CO2 stored,0.23,tCO2/MWh_th,"Stoichiometric calculation, doi:10.1016/j.apenergy.2022.120016",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
BioSNG,2045,FOM,1.61,%/year,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx","84 Gasif. CFB, Bio-SNG:  Fixed O&M",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
BioSNG,2045,VOM,1.62,EUR/MWh_th,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx","84 Gasif. CFB, Bio-SNG:  Variable O&M",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
BioSNG,2045,capture rate,0.9,per unit,Assumption based on doi:10.1016/j.biombioe.2015.01.006,,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
BioSNG,2045,efficiency,0.68,per unit,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx","84 Gasif. CFB, Bio-SNG:  Bio SNG",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
BioSNG,2045,investment,1525.0,EUR/kW_th,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx","84 Gasif. CFB, Bio-SNG:  Specific investment",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
BioSNG,2045,lifetime,25.0,years,TODO,"84 Gasif. CFB, Bio-SNG:  Technical lifetime",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
