Province,1995,2000,2005,2010,2015,2020
Beijing,6705.166667,6705.166667,6705.166667,6705.166667,6705.166667,6705.166667
Tianjin,3435.056667,3435.056667,3435.056667,3435.056667,3435.056667,3435.056667
Hebei,3974.985,3974.985,3974.985,3974.985,3974.985,3974.985
Shanxi,2761.491667,2761.491667,2761.491667,2761.491667,2761.491667,2761.491667
InnerMongolia,3967.528333,3967.528333,3967.528333,3967.528333,3967.528333,3967.528333
Liaoning,8052.51,8052.51,8052.51,8052.51,8052.51,8052.51
Jilin,5272.721667,5272.721667,5272.721667,5272.721667,5272.721667,5272.721667
Heilongjiang,4821.176667,4821.176667,4821.176667,4821.176667,4821.176667,4821.176667
Shanghai,0,0,0,0,0,0
Jiangsu,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333
Zhejiang,0,0,0,0,0,0
Anhui,42,42,42,42,42,42
Fujian,0,0,0,0,0,0
Jiangxi,0,0,0,0,0,0
Shandong,3233.198333,3233.198333,3233.198333,3233.198333,3233.198333,3233.198333
Henan,522.7333333,522.7333333,522.7333333,522.7333333,522.7333333,522.7333333
Hubei,0,0,0,0,0,0
Hunan,0,0,0,0,0,0
Guangdong,0,0,0,0,0,0
Guangxi,0,0,0,0,0,0
Hainan,0,0,0,0,0,0
Chongqing,0,0,0,0,0,0
Sichuan,9.833333333,9.833333333,9.833333333,9.833333333,9.833333333,9.833333333
Guizhou,37.625,37.625,37.625,37.625,37.625,37.625
Yunnan,5.316666667,5.316666667,5.316666667,5.316666667,5.316666667,5.316666667
Tibet,13.83333333,13.83333333,13.83333333,13.83333333,13.83333333,13.83333333
Shaanxi,3024.913333,3024.913333,3024.913333,3024.913333,3024.913333,3024.913333
Gansu,3249.748333,3249.748333,3249.748333,3249.748333,3249.748333,3249.748333
Qinghai,421.6766667,421.6766667,421.6766667,421.6766667,421.6766667,421.6766667
Ningxia,712.7316667,712.7316667,712.7316667,712.7316667,712.7316667,712.7316667
Xinjiang,5493.298333,5493.298333,5493.298333,5493.298333,5493.298333,5493.298333
