"Subnational unit (province, state)",1985,1990,1995,2000,2005,2010,2015,2020
Anhui,320,950,960,1890,2260,17640,15530,8000
Chongqing,0,0,720,720,300,2700,4680,2520
Fujian,0,700,0,2500,3186,9540,4100,4640
Gansu,0,0,0,970,1915,5295,2060,2600
Guangdong,0,0,3260,5210,5290,17236.2,16147,10380
Guangxi,0,0,0,750,1570,5745,5140,4120
Guizhou,0,0,0,600,5740,9800,8040,7340
Hainan,0,0,0,0,0,1360,1400,0
Hebei,0,1300,2210,3190,5870,9970,2730,4020
Heilongjiang,600,1040,415,1800,1030,3900,300,1200
Henan,320,320,320,2260,6570,18010,15320,7840
Hubei,0,0,1320,3300,1500,5820,4380,5640
Hunan,0,0,725,1530,2540,8410,3840,1260
InnerMongolia,1000,400,1130,2590,6760,22350,7800,13080
Jiangsu,0,0,2660,4330,9920,23890,16660,8700
Jiangxi,0,0,220,1880,1300,7410,4920,4424
Jilin,0,0,800,700,100,4980,660,0
Liaoning,200,700,600,4600,1100,10200,1800,660
Ningxia,0,0,660,660,1650,8450,3970,10800
Qinghai,0,0,0,0,0,1140,660,660
Shaanxi,0,0,900,2030,2440,10390,7020,10660
Shandong,475,3320,2315,5915,6665,17865,9770,10410
Shanghai,0,650,1840,640,3160,3320,0,0
Shanxi,0,1020,1100,2080,8500,15325,11817,6760
Sichuan,0,330,330,700,900,5400,3000,330
Tianjin,0,0,1187,1230,1857,3300,250,2350
Xinjiang,0,0,220,0,800,1230,17190,16640
Yunnan,0,0,0,1000,1500,6000,2700,0
Zhejiang,0,0,2160,2130,4800,18920,10990,1320
