Province,1995,2000,2005,2010,2015,2020
Beijing,1570.833333,1570.833333,1570.833333,1570.833333,1570.833333,1570.833333
Tianjin,1995.228333,1995.228333,1995.228333,1995.228333,1995.228333,1995.228333
Hebei,6349.191667,6349.191667,6349.191667,6349.191667,6349.191667,6349.191667
Shanxi,6467.208333,6467.208333,6467.208333,6467.208333,6467.208333,6467.208333
InnerMongolia,9100.42,9100.42,9100.42,9100.42,9100.42,9100.42
Liaoning,7656.575,7656.575,7656.575,7656.575,7656.575,7656.575
Jilin,3514.233333,3514.233333,3514.233333,3514.233333,3514.233333,3514.233333
Heilongjiang,6943.886667,6943.886667,6943.886667,6943.886667,6943.886667,6943.886667
Shanghai,0,0,0,0,0,0
Jiangsu,0,0,0,0,0,0
Zhejiang,0,0,0,0,0,0
Anhui,346.9166667,346.9166667,346.9166667,346.9166667,346.9166667,346.9166667
Fujian,0,0,0,0,0,0
Jiangxi,0,0,0,0,0,0
Shandong,13720.229,13720.229,13720.229,13720.229,13720.229,13720.229
Henan,4307.775,4307.775,4307.775,4307.775,4307.775,4307.775
Hubei,184.0016667,184.0016667,184.0016667,184.0016667,184.0016667,184.0016667
Hunan,0,0,0,0,0,0
Guangdong,0,0,0,0,0,0
Guangxi,0,0,0,0,0,0
Hainan,0,0,0,0,0,0
Chongqing,0,0,0,0,0,0
Sichuan,1.333333333,1.333333333,1.333333333,1.333333333,1.333333333,1.333333333
Guizhou,0,0,0,0,0,0
Yunnan,0,0,0,0,0,0
Tibet,25.98,25.98,25.98,25.98,25.98,25.98
Shaanxi,1933.158333,1933.158333,1933.158333,1933.158333,1933.158333,1933.158333
Gansu,1712.901667,1712.901667,1712.901667,1712.901667,1712.901667,1712.901667
Qinghai,712.8333333,712.8333333,712.8333333,712.8333333,712.8333333,712.8333333
Ningxia,1511.333333,1511.333333,1511.333333,1511.333333,1511.333333,1511.333333
Xinjiang,2691.605,2691.605,2691.605,2691.605,2691.605,2691.605
