Province,Type,Value
Anhui,CHP Coal,22000
Beijing,CHP Coal,6720
Chongqing,CHP Coal,2030
Fujian,CHP Coal,9430
Gansu,CHP Coal,13440
Guangdong,CHP Coal,17560
Guangxi,CHP Coal,690
Guizhou,CHP Coal,900
Hainan,CHP Coal,0
Hebei,CHP Coal,43980
Heilongjiang,CHP Coal,17210
Henan,CHP Coal,29050
Hubei,CHP Coal,6270
Hunan,CHP Coal,4500
InnerMongolia,CHP Coal,45580
Jiangsu,CHP Coal,79930
Jiangxi,CHP Coal,0
Jilin,CHP Coal,13360
Liaoning,CHP Coal,27660
Ningxia,CHP Coal,12790
Qinghai,CHP Coal,0
Shaanxi,CHP Coal,14880
Shandong,CHP Coal,83120
Shanghai,CHP Coal,8360
Shanxi,CHP Coal,39990
Sichuan,CHP Coal,0
Tianjin,CHP Coal,14890
Tibet,CHP Coal,0
Xinjiang,CHP Coal,18010
Yunnan,CHP Coal,0
Zhejiang,CHP Coal,30600
Anhui,Coal,33610
Beijing,Coal,4640
Chongqing,Coal,13420
Fujian,Coal,25350
Gansu,Coal,9640
Guangdong,Coal,78260
Guangxi,Coal,22750
Guizhou,Coal,34700
Hainan,Coal,5460
Hebei,Coal,9930
Heilongjiang,Coal,7020
Henan,Coal,41630
Hubei,Coal,26890
Hunan,Coal,18190
InnerMongolia,Coal,48160
Jiangsu,Coal,20860
Jiangxi,Coal,24550
Jilin,Coal,5160
Liaoning,Coal,8770
Ningxia,Coal,20470
Qinghai,Coal,3930
Shaanxi,Coal,35050
Shandong,Coal,28230
Shanghai,Coal,16140
Shanxi,Coal,28790
Sichuan,Coal,15960
Tianjin,Coal,1790
Tibet,Coal,430
Xinjiang,Coal,45360
Yunnan,Coal,15170
Zhejiang,Coal,32980
Anhui,OCGT,0
Beijing,OCGT,9458
Chongqing,OCGT,940
Fujian,OCGT,3740
Gansu,OCGT,0
Guangdong,OCGT,28517
Guangxi,OCGT,0
Guizhou,OCGT,0
Hainan,OCGT,2364
Hebei,OCGT,800
Heilongjiang,OCGT,0
Henan,OCGT,3060
Hubei,OCGT,0
Hunan,OCGT,0
InnerMongolia,OCGT,300
Jiangsu,OCGT,6034
Jiangxi,OCGT,0
Jilin,OCGT,0
Liaoning,OCGT,0
Ningxia,OCGT,0
Qinghai,OCGT,300
Shaanxi,OCGT,0
Shandong,OCGT,0
Shanghai,OCGT,11022
Shanxi,OCGT,0
Sichuan,OCGT,700
Tianjin,OCGT,3327
Tibet,OCGT,284
Xinjiang,OCGT,0
Yunnan,OCGT,0
Zhejiang,OCGT,4310
Anhui,Onwind,4120
Beijing,Onwind,190
Chongqing,Onwind,970
Fujian,Onwind,4306
Gansu,Onwind,13730
Guangdong,Onwind,5006
Guangxi,Onwind,5786
Guizhou,Onwind,5800
Hainan,Onwind,257
Hebei,Onwind,20148
Heilongjiang,Onwind,6860
Henan,Onwind,15180
Hubei,Onwind,5020
Hunan,Onwind,6690
InnerMongolia,Onwind,37860
Jiangsu,Onwind,13707
Jiangxi,Onwind,5100
Jilin,Onwind,5770
Liaoning,Onwind,8692
Ningxia,Onwind,13770
Qinghai,Onwind,8430
Shaanxi,Onwind,8920
Shandong,Onwind,15904
Shanghai,Onwind,727
Shanxi,Onwind,19740
Sichuan,Onwind,4260
Tianjin,Onwind,753
Tibet,Onwind,10
Xinjiang,Onwind,23610
Yunnan,Onwind,8810
Zhejiang,Onwind,1648
Anhui,Offwind,0
Beijing,Offwind,0
Chongqing,Offwind,0
Fujian,Offwind,554
Gansu,Offwind,0
Guangdong,Offwind,644
Guangxi,Offwind,744
Guizhou,Offwind,0
Hainan,Offwind,33
Hebei,Offwind,2592
Heilongjiang,Offwind,0
Henan,Offwind,0
Hubei,Offwind,0
Hunan,Offwind,0
InnerMongolia,Offwind,0
Jiangsu,Offwind,1763
Jiangxi,Offwind,0
Jilin,Offwind,0
Liaoning,Offwind,1118
Ningxia,Offwind,0
Qinghai,Offwind,0
Shaanxi,Offwind,0
Shandong,Offwind,2046
Shanghai,Offwind,93
Shanxi,Offwind,0
Sichuan,Offwind,0
Tianjin,Offwind,97
Tibet,Offwind,0
Xinjiang,Offwind,0
Yunnan,Offwind,0
Zhejiang,Offwind,212
Anhui,Solar,13700
Beijing,Solar,620
