Province,1995,2000,2005,2010,2015,2020
Anhui,0,0,0,0,0,0
Beijing,9085.918972,6057.279314,6057.279314,4542.959486,3028.639657,1514.319829
Chongqing,0,0,0,0,0,0
Fujian,0,0,0,0,0,0
Gansu,10702.2717,7134.847797,7134.847797,5351.135848,3567.423899,1783.711949
Guangdong,0,0,0,0,0,0
Guangxi,0,0,0,0,0,0
Guizhou,0,0,0,0,0,0
Hainan,0,0,0,0,0,0
Hebei,26579.06512,17719.37675,17719.37675,13289.53256,8859.688374,4429.844187
Heilongjiang,18876.48265,12584.32177,12584.32177,9438.241325,6292.160883,3146.080442
Henan,30892.34765,20594.89843,20594.89843,15446.17383,10297.44922,5148.724609
Hubei,0,0,0,0,0,0
Hunan,0,0,0,0,0,0
InnerMongolia,8169.815047,5446.543365,5446.543365,4084.907524,2723.271682,1361.635841
Jiangsu,19102.44348,12734.96232,12734.96232,9551.221738,6367.481159,3183.740579
Jiangxi,0,0,0,0,0,0
Jilin,13621.59314,9081.062093,9081.062093,6810.79657,4540.531046,2270.265523
Liaoning,19072.12978,12714.75319,12714.75319,9536.064892,6357.376595,3178.688297
Ningxia,1689.273093,1126.182062,1126.182062,844.6365467,563.0910311,281.5455156
Qinghai,3270.615252,2180.410168,2180.410168,1635.307626,1090.205084,545.1025419
Shaanxi,13379.17088,8919.447256,8919.447256,6689.585442,4459.723628,2229.861814
Shandong,29933.27739,19955.51826,19955.51826,14966.6387,9977.759131,4988.879565
Shanghai,0,0,0,0,0,0
Shanxi,10956.75101,7304.500672,7304.500672,5478.375504,3652.250336,1826.125168
Sichuan,0,0,0,0,0,0
Tianjin,3733.878567,2489.252378,2489.252378,1866.939283,1244.626189,622.3130945
Tibet,2084.818483,1389.878989,1389.878989,1042.409241,694.9394943,347.4697471
Xinjiang,9858.846719,6572.564479,6572.564479,4929.42336,3286.28224,1643.14112
Yunnan,0,0,0,0,0,0
Zhejiang,0,0,0,0,0,0
