Region,1995,2000,2005,2010,2015,2020
Beijing,322.5,322.5,322.5,322.5,322.5,322.5
Tianjin,784.7716667,784.7716667,784.7716667,784.7716667,784.7716667,784.7716667
Hebei,2635.808333,2635.808333,2635.808333,2635.808333,2635.808333,2635.808333
Shanxi,4996.125,4996.125,4996.125,4996.125,4996.125,4996.125
InnerMongolia,6522.913333,6522.913333,6522.913333,6522.913333,6522.913333,6522.913333
Liaoning,0,0,0,0,0,0
Jilin,0,0,0,0,0,0
Heilongjiang,0,0,0,0,0,0
Shanghai,4083.333333,4083.333333,4083.333333,4083.333333,4083.333333,4083.333333
Jiangsu,16798.33333,16798.33333,16798.33333,16798.33333,16798.33333,16798.33333
Zhejiang,10596.66667,10596.66667,10596.66667,10596.66667,10596.66667,10596.66667
Anhui,8921.416667,8921.416667,8921.416667,8921.416667,8921.416667,8921.416667
Fujian,5796.666667,5796.666667,5796.666667,5796.666667,5796.666667,5796.666667
Jiangxi,4091.666667,4091.666667,4091.666667,4091.666667,4091.666667,4091.666667
Shandong,4838.104333,4838.104333,4838.104333,4838.104333,4838.104333,4838.104333
Henan,7472.225,7472.225,7472.225,7472.225,7472.225,7472.225
Hubei,5342.665,5342.665,5342.665,5342.665,5342.665,5342.665
Hunan,3781.666667,3781.666667,3781.666667,3781.666667,3781.666667,3781.666667
Guangdong,15970,15970,15970,15970,15970,15970
Guangxi,3906.666667,3906.666667,3906.666667,3906.666667,3906.666667,3906.666667
Hainan,910,910,910,910,910,910
Chongqing,2575,2575,2575,2575,2575,2575
Sichuan,2658.666667,2658.666667,2658.666667,2658.666667,2658.666667,2658.666667
Guizhou,5933.333333,5933.333333,5933.333333,5933.333333,5933.333333,5933.333333
Yunnan,2528.333333,2528.333333,2528.333333,2528.333333,2528.333333,2528.333333
Tibet,45.68666667,45.68666667,45.68666667,45.68666667,45.68666667,45.68666667
Shaanxi,6388.508333,6388.508333,6388.508333,6388.508333,6388.508333,6388.508333
Gansu,2133.765,2133.765,2133.765,2133.765,2133.765,2133.765
Qinghai,0,0,0,0,0,0
Ningxia,4032,4032,4032,4032,4032,4032
Xinjiang,7870.061667,7870.061667,7870.061667,7870.061667,7870.061667,7870.061667
