Region,2010,2015,2020
Beijing,0,0,0
Tianjin,0,37.4,59.6
Hebei,0,1314.8,1277.2
Shanxi,0,0,0
InnerMongolia,0,0,0
Liaoning,0,821.9,296.1
Jilin,0,0,0
Heilongjiang,0,0,0
Shanghai,0,78,15
Jiangsu,0,530,1233
Zhejiang,0,133.8,78.2
Anhui,0,0,0
Fujian,0,221.3,332.7
Jiangxi,0,0,0
Shandong,0,927.5,1118.5
Henan,0,0,0
Hubei,0,0,0
Hunan,0,0,0
Guangdong,0,316.5,327.5
Guangxi,0,0,744
Hainan,0,16.5,16.5
Chongqing,0,0,0
Sichuan,0,0,0
Guizhou,0,0,0
Yunnan,0,0,0
Tibet,0,0,0
Shaanxi,0,0,0
Gansu,0,0,0
Qinghai,0,0,0
Ningxia,0,0,0
Xinjiang,0,0,0
