Region,2010,2015,2020
Beijing,110,40,40
Tianjin,30,222.6,500.4
Hebei,3720,5185.2,11242.8
Shanxi,370,6320,13050
InnerMongolia,9730,14520,13610
Liaoning,3080,2488.1,3123.9
Jilin,2210,2230,1330
Heilongjiang,1910,3120,1830
Shanghai,140,392,195
Jiangsu,1370,2220,10117
Zhejiang,250,656.2,741.8
Anhui,0,1360,2760
Fujian,550,948.7,2807.3
Jiangxi,80,590,4430
Shandong,1380,4902.5,9621.5
Henan,50,860,14270
Hubei,60,1290,3670
Hunan,38,1476,5176
Guangdong,620,1523.5,2862.5
Guangxi,0,40,5746
Hainan,210,14,33
Chongqing,50,180,740
Sichuan,0,730,3530
Guizhou,0,3230,2570
Yunnan,340,5800,2670
Tibet,0,10,0
Shaanxi,0,1140,7780
Gansu,1390,11130,1210
Qinghai,0,470,7960
Ningxia,510,7710,5550
Xinjiang,1360,15550,6700
