Province,1995,2000,2005,2010,2015,2020
Beijing,1200,953.5,953.5,473,3140,0
Tianjin,423,684,684,4729,2430,5940
Hebei,743,2129,2129,8319,13890,16770
Shanxi,865,1186.5,1186.5,7732,17160,11860
InnerMongolia,1148,1187.5,1187.5,12007,15790,14260
Liaoning,2739,1218,1218,7375,7890,7220
Jilin,1782,1164,1164,5670,3360,220
Heilongjiang,2055,1199.5,1199.5,2996,5530,4230
Shanghai,1013,1325,1325,467,110,4120
Jiangsu,594,4879,4879,8168,27110,34300
Zhejiang,860,1841.5,1841.5,857,4030,21170
Anhui,374,146,146,2164,8440,10730
Fujian,104,107,107,862,5770,2480
Jiangxi,0,0,0,0,0,0
Shandong,942,5022.5,5022.5,17013,16290,38830
Henan,362,1024.5,1024.5,6679,7950,12010
Hubei,214,0,0,2296,3470,290
Hunan,266,85.5,85.5,183,870,3010
Guangdong,1231,235,235,1589,12210,2060
Guangxi,0,0,0,0,0,690
Hainan,0,0,0,0,0,0
Chongqing,0,47,47,46,1710,180
Sichuan,0,0,0,0,0,0
Guizhou,0,0,0,0,0,900
Yunnan,0,0,0,0,0,0
Tibet,0,0,0,0,0,0
Shaanxi,86,318,318,1748,4270,8140
Gansu,0,159,251,0,9210,3820
Qinghai,0,0,0,0,0,0
Ningxia,0,45,45,1380,1920,9400
Xinjiang,179,507.5,507.5,4846,3920,8050
