period,enduse,unit,value,TWH
2020,space_heating,EJ/yr,7.91,2197.16
2020,water_heating,EJ/yr,5.13,1424.96
2020,space_cooling,EJ/yr,1.53,424.98
2020,lighting,EJ/yr,1.08,299.99
2020,cooking,EJ/yr,3.08,855.53
2020,appliances,EJ/yr,3.17,880.53
2020,other,EJ/yr,0.52,144.44
2025,space_heating,EJ/yr,7.17,1991.61
2025,water_heating,EJ/yr,5.57,1547.17
2025,space_cooling,EJ/yr,1.86,516.65
2025,lighting,EJ/yr,1.04,288.88
2025,cooking,EJ/yr,2.65,736.09
2025,appliances,EJ/yr,3.75,1041.63
2025,other,EJ/yr,0.97,269.43
2030,space_heating,EJ/yr,6.49,1802.72
2030,water_heating,EJ/yr,5.59,1552.73
2030,space_cooling,EJ/yr,2.17,602.76
2030,lighting,EJ/yr,0.96,266.65
2030,cooking,EJ/yr,2.26,627.76
2030,appliances,EJ/yr,4.14,1149.96
2030,other,EJ/yr,1.19,330.54
2035,space_heating,EJ/yr,6.03,1674.95
2035,water_heating,EJ/yr,5.46,1516.62
2035,space_cooling,EJ/yr,2.17,602.76
2035,lighting,EJ/yr,0.78,216.66
2035,cooking,EJ/yr,2.31,641.64
2035,appliances,EJ/yr,4.51,1252.74
2035,other,EJ/yr,1.34,372.21
2040,space_heating,EJ/yr,5.42,1505.51
2040,water_heating,EJ/yr,5.43,1508.29
2040,space_cooling,EJ/yr,1.99,552.76
2040,lighting,EJ/yr,0.78,216.66
2040,cooking,EJ/yr,2.24,622.20
2040,appliances,EJ/yr,4.91,1363.85
2040,other,EJ/yr,1.42,394.43
2045,space_heating,EJ/yr,4.96,1377.73
2045,water_heating,EJ/yr,5.38,1494.40
2045,space_cooling,EJ/yr,1.83,508.31
2045,lighting,EJ/yr,0.8,222.2
2045,cooking,EJ/yr,2.23,619.42
2045,appliances,EJ/yr,5.26,1461.07
2045,other,EJ/yr,1.48,411.09
2050,space_heating,EJ/yr,4.65,1291.63
2050,water_heating,EJ/yr,5.35,1486.06
2050,space_cooling,EJ/yr,1.74,483.31
2050,lighting,EJ/yr,0.84,233.32
2050,cooking,EJ/yr,2.15,597.20
2050,appliances,EJ/yr,5.59,1552.73
2050,other,EJ/yr,1.56,433.32
2055,space_heating,EJ/yr,4.41,1224.96
2055,water_heating,EJ/yr,5.37,1491.62
2055,space_cooling,EJ/yr,1.7,472.2
2055,lighting,EJ/yr,0.88,244.43
2055,cooking,EJ/yr,2.07,574.98
2055,appliances,EJ/yr,5.87,1630.50
2055,other,EJ/yr,1.65,458.32
2060,space_heating,EJ/yr,4.23,1174.96
2060,water_heating,EJ/yr,5.49,1524.95
2060,space_cooling,EJ/yr,1.7,472.2
2060,lighting,EJ/yr,0.91,252.77
2060,cooking,EJ/yr,2.03,563.87
2060,appliances,EJ/yr,6.08,1688.84
2060,other,EJ/yr,1.7,472.2
