Time Series,AH,BJ,CQ,FJ,GS,GD,GX,GZ,HI,HE,HL,HA,HB,HN,JS,JX,JL,LN,NM,NX,QH,SN,SD,SH,SX,SC,TJ,XJ,XZ,YN,ZJ
1,20117.7056,13226.9319,9422.850844,20011.72397,14023.57612,55063.58725,16334.70375,16414.95043,2965.891938,40132.52731,10342.58619,31096.26427,21104.57371,15828.37582,53394.1986,12095.25469,7788.532897,24481.52452,35995.22735,9356.295735,8473.255469,17151.19672,60206.88697,14504.01407,23111.83971,21895.86891,8370.441295,31184.32632,752.6835332,17654.03053,36447.04706
2,19521.0096,13077.35309,8832.181162,19096.24236,13761.73915,51220.34398,15273.35743,15635.22488,2684.808181,39105.55708,10036.02536,31579.56285,18431.89432,15131.29057,53694.43135,11709.66145,7664.431756,24716.45548,35595.88472,9281.353617,8549.598569,16218.24077,59584.8703,13703.93912,22984.66359,22317.25762,7965.712449,30640.87056,701.1153455,16629.41214,35354.80283
3,18975.94516,12769.87306,8328.041936,18481.01666,13489.0028,47188.44683,14387.26197,14854.43323,2416.245524,38230.49685,9928.893592,31669.50002,17809.1664,14373.25467,52519.61723,11424.74642,7599.844269,24327.6239,35499.94374,9278.56548,8549.483816,15477.11341,58696.73423,13246.57383,22796.63633,20712.68701,7821.484217,30017.14551,679.2104691,15727.62502,34276.97986
4,18476.47712,12559.13595,7969.908701,17786.01014,13398.79532,43872.37409,13637.95753,14260.00838,2243.235881,37242.80614,9928.081367,30874.77163,17329.22784,13948.12926,51863.86241,11045.92968,7508.232222,24133.10216,35492.05143,9309.120912,8401.725236,15257.88704,57833.6885,12822.33089,22552.01578,20542.61113,7809.781158,29841.99964,646.0153138,15475.73011,33781.21293
5,18476.39717,12484.87309,7888.962572,17494.58686,13285.77612,40657.82764,13413.33905,14056.07685,2122.893723,37251.84985,10010.30465,30325.57075,17223.2486,13691.09653,51628.13459,10850.8326,7531.821941,24002.21597,35322.9779,9286.325847,8590.492627,15079.24843,56524.4838,12659.44517,22486.96903,20356.30802,7664.662535,29699.57069,621.437731,15149.49668,33520.28474
6,18997.6307,12659.85765,8066.225493,17487.97475,13206.3655,38866.03246,13048.32382,13945.41563,2087.58085,37771.3831,10520.92581,29477.48786,17441.29149,13947.88002,52845.95402,11235.33283,7907.415451,24588.45673,35507.52826,9356.215423,8518.006001,15257.16473,58330.46176,13116.11879,22668.39433,20284.55483,7894.704632,29698.80179,625.0565042,15020.93275,34027.13927
7,20720.58503,13189.5024,8696.227552,18433.88496,13470.05794,37767.53809,13886.58064,14550.24276,2234.264216,39804.68694,12004.23023,32110.01148,18694.67526,15373.35795,56746.87977,11577.13875,8732.109596,25584.5845,36124.28032,9489.505138,8624.201614,15966.75036,60640.13167,13859.91059,22966.32393,20895.12815,8198.389343,29699.03684,639.5414303,15475.85688,36245.99712
8,22795.1711,14179.57193,9918.252233,19970.11287,14113.04913,38098.5877,15996.33928,16603.21479,2604.857395,44222.77308,12629.75801,39901.63987,20570.0157,18989.36542,59191.73565,14083.02586,9236.971144,26044.42588,36976.98911,9550.852116,9091.135185,18086.65649,65153.11971,14378.02488,24341.55515,22079.35352,8747.678114,29959.21943,691.3719893,16610.7627,38538.83627
9,21840.16672,14354.12695,10995.95634,20845.95216,14780.93335,36152.07989,16319.59594,19240.71505,2751.394942,43986.71201,12286.2173,35789.3478,21981.79116,19292.94591,59049.8565,14532.74128,9199.098126,24073.16775,36683.31315,9294.626928,9208.623601,18579.35127,63655.42185,15272.87163,23769.72688,23962.52166,9247.212466,30019.18098,767.6631609,18383.90748,41811.24927
10,20569.31511,14974.68116,11891.33126,22606.71101,14805.64405,38053.32439,17540.04152,21331.06131,3054.027918,44301.90337,12368.68815,34826.32765,23129.96063,20434.71731,59331.57905,15205.80799,9274.80367,24844.35008,36653.19602,9046.323723,9147.025461,19154.68966,62545.76146,16545.47312,23607.76085,26418.11947,9962.27285,30721.5498,847.5513492,20455.12419,43082.73957
11,20494.29658,15473.98162,12769.2198,24413.9884,14975.75142,42214.98161,18329.23422,22035.6724,3464.249514,44718.49974,12487.72388,35955.50592,23332.96546,21372.22878,61922.21601,16695.47313,9326.527911,25193.7201,36730.25477,9121.456441,8814.39143,19261.76017,62122.49502,17827.92267,23176.43093,27972.12319,10106.42131,30919.51012,901.7137301,22023.70281,44335.19089
12,21672.36689,15657.78206,13459.86767,26044.2511,14934.38194,45595.28436,18794.43073,22372.43384,3484.91024,46057.45554,12917.80272,39253.44173,23662.76147,22852.44691,61619.56489,17660.95456,9374.067063,25339.93444,36705.80989,8954.191907,8907.10239,19092.18292,63665.32717,18113.15821,23512.55123,30708.70425,10274.0441,31307.99335,899.2222974,22586.11894,44451.93232
13,20416.63955,15449.03058,13116.77722,24379.7606,15817.25973,45168.73599,18239.47428,21284.73246,3349.217768,43528.09342,12297.71743,39231.92858,22954.99388,22248.7509,58079.58156,15853.77305,8917.944376,24459.81315,36376.1017,8939.266544,8821.965045,18959.05943,62112.26698,17628.64016,24134.4611,29782.64758,9884.249526,31520.60793,884.2949137,21607.82038,41821.96725
14,20019.13135,15237.44795,12429.8091,23043.05532,14964.7307,43397.78796,17649.43777,19940.42001,3215.96146,40725.65004,11971.90206,37718.86361,22131.83524,19922.45098,60060.42771,14295.22115,8894.528746,24580.33062,35598.82839,8878.291783,8622.792073,18463.91677,59562.0403,17450.65312,23367.14355,27289.45321,9606.588157,31344.35392,807.0505416,19731.14093,43010.96327
