,2020,2025,2030,2035,2040,2045,2050,2055,2060
Anhui,2386.00612,2858.959133,3425.660669,3961.215083,4580.495984,5058.422391,5586.215374,5997.89767,6439.919347
Beijing,1179.544027,1246.24328,1316.714151,1410.274528,1510.482927,1610.675881,1717.514807,1814.444565,1916.844656
Chongqing,1195.638128,1387.124527,1609.278267,1828.120638,2076.722924,2275.575742,2493.469348,2669.22957,2857.378816
Fujian,2455.158907,2734.391698,3045.382495,3331.278826,3644.014713,3918.638922,4213.95966,4466.822598,4734.858834
Gansu,1319.606551,1486.502598,1674.506672,1879.934827,2110.564868,2301.782721,2510.324972,2682.21133,2865.867048
Guangdong,6815.122846,7436.507177,8114.547638,8803.981648,9551.991843,10238.28795,10973.89339,11617.17083,12298.15649
Guangxi,1968.120509,2298.929185,2685.341356,3058.838095,3484.283468,3822.077884,4192.620804,4490.108173,4808.703755
Guizhou,1587.293968,1838.842252,2130.254948,2418.543224,2745.845671,3008.072427,3295.341695,3527.297717,3775.580906
Hainan,366.2920172,425.2934293,493.7986428,549.2259753,610.8748503,661.3025349,715.893022,760.8754759,808.6843592
Hebei,4100.709576,4280.10923,4467.35734,4761.521152,5075.054883,5401.149824,5748.19782,6067.868753,6405.317346
Heilongjiang,1022.360789,1196.600824,1270.172021,1415.269725,1576.94262,1713.498974,1861.880512,1984.763143,2115.75593
Henan,3682.309958,4091.232936,4545.567083,5099.776487,5721.556792,6242.641467,6811.183372,7277.874914,7776.543425
Hubei,2384.131671,2709.600887,3079.501463,3486.422177,3947.112784,4322.234362,4733.006353,5064.644192,5419.519621
Hunan,1899.930111,2085.794543,2289.841531,2556.751464,2854.77312,3108.807167,3385.446617,3614.641137,3859.352111
Jiangsu,6371.579065,6928.741694,7534.625399,8163.591639,8845.061954,9475.370339,10150.59516,10743.25571,11370.5198
Jiangxi,1594.320964,1920.358592,2313.070708,2680.285546,3105.798099,3432.725162,3794.0657,4075.036612,4376.814928
Jilin,787.4752779,924.106982,983.5030382,1097.004639,1223.604943,1330.12242,1445.912476,1541.600557,1643.621117
Liaoning,2574.62473,3062.752699,3304.289244,3705.748004,4155.9825,4527.621658,4932.493792,5263.502238,5616.723909
InnerMongolia,3787.954837,4532.491029,5423.368496,6225.933741,7147.264836,7864.611668,8653.956179,9279.540106,9950.346731
Ningxia,1119.937962,1316.376798,1547.271307,1766.885475,2017.670894,2215.492871,2432.710248,2606.364752,2792.41526
Qinghai,739.7238516,866.1441696,1014.169978,1156.342275,1318.445118,1446.823565,1587.702363,1700.620055,1821.568474
Shaanxi,1983.117353,2385.41116,2869.314009,3306.979015,3811.402366,4200.581347,4629.499056,4967.302837,5329.755375
Shandong,7016.667753,8013.476312,9151.894442,10112.1548,11173.17026,12063.60117,13024.99378,13828.78506,14682.17947
Shanghai,1576.883197,1617.406693,1658.971582,1755.915127,1858.523658,1972.429068,2093.315527,2207.264077,2327.415359
Shanxi,2399.207423,2714.760532,3071.816416,3471.604751,3923.424423,4293.270472,4697.980477,5025.74829,5376.383745
Sichuan,2706.928035,3086.283242,3518.802173,3969.592324,4478.132741,4893.286468,5346.927802,5717.452818,6113.654035
Tianjin,975.8549912,1034.680687,1097.052466,1176.664116,1262.053078,1346.527217,1436.655539,1518.077482,1604.113985
Xinjiang,3133.64122,3872.702386,4786.069213,5512.106808,6348.282926,6994.472869,7706.438306,8267.800534,8870.054227
Tibet,87.87751438,159.2047705,288.4259886,504.1162024,881.1034915,1147.066734,1493.311631,1712.66314,1964.235039
Yunnan,1865.30484,2151.902081,2482.533937,2813.790098,3189.247323,3491.484007,3822.362876,4090.321598,4377.065004
Zhejiang,4792.253419,5241.227126,5732.264006,6225.011456,6760.115652,7248.484013,7772.133376,8228.937219,8712.589514
