CDF Percentile,Private car,SPV
1.0,6.0,6.0
2.0,6.5,7.0
3.0,7.0,8.0
4.0,7.9,9.0
5.0,8.0,9.9
6.000000000000001,9.0,10.3
6.999999999999999,9.0,11.0
8.0,10.0,12.0
9.0,10.4,13.0
10.0,11.0,14.0
11.0,11.8,15.0
12.0,12.0,16.0
13.0,13.0,17.0
14.000000000000002,13.0,18.0
15.000000000000002,14.0,19.0
16.0,14.4,20.0
17.0,15.0,21.0
18.000000000000004,15.8,22.0
19.0,16.0,23.0
20.0,17.0,24.0
21.000000000000004,17.1,25.0
22.0,18.0,26.0
23.0,18.6,27.0
24.000000000000004,19.0,28.0
25.0,20.0,29.6
26.0,20.1,31.0
27.0,21.0,32.0
28.000000000000004,21.8,33.0
29.000000000000004,22.0,34.0
30.0,23.0,35.2
31.0,23.4,37.0
32.0,24.0,38.0
33.0,25.0,39.0
34.0,25.3,40.9
35.0,26.0,42.0
36.00000000000001,27.0,43.0
37.0,27.4,45.0
38.0,28.0,46.0
39.0,29.0,47.3
40.0,29.6,49.0
41.0,30.0,50.1
42.00000000000001,31.0,52.0
43.0,32.0,54.0
44.0,32.5,55.0
45.0,33.0,57.0
46.0,34.0,59.0
47.0,35.0,60.0
48.00000000000001,35.800000000000004,62.0
49.0,36.3,64.0
50.0,37.0,66.0
51.0,38.0,68.0
52.0,39.0,70.0
53.0,40.0,72.0
54.0,41.0,74.0
55.00000000000001,41.8,76.0
56.00000000000001,42.6,78.0
57.00000000000001,43.4,80.6
58.00000000000001,44.3,83.0
59.0,45.3,85.0
60.0,46.3,88.0
61.0,47.4,90.9
62.0,48.5,93.0
63.0,49.7,96.0
64.0,51.0,99.0
65.0,52.0,102.0
66.0,53.0,105.0
67.0,54.0,109.0
68.0,55.2,112.0
69.0,57.0,116.0
70.0,58.0,120.0
71.00000000000001,59.0,124.0
72.0,61.0,128.0
73.0,62.0,132.8
74.0,64.0,137.0
75.0,65.0,143.0
76.0,67.0,148.0
77.0,69.0,154.0
78.0,70.5,160.0
79.0,72.1,167.0
80.0,74.0,173.7
81.0,76.3,181.0
82.0,79.0,188.6300000000014
83.0,81.0,196.9950000000007
84.00000000000001,84.0,205.0
85.0,86.2,213.0
86.0,89.1,222.0
87.0,92.8,230.0
88.0,96.0,239.0
89.0,100.0,248.0
90.0,104.0,258.0
91.0,109.0,267.0
92.0,115.0,278.0
93.0,121.0,288.0
94.0,129.0,299.0
95.0,138.6,312.0
96.0,151.0,326.0
97.0,168.0,342.0
98.0,195.0,363.0
99.0,244.371000000002,395.0
100.0,499.4,499.0
